 Loading model...
Downloading data from 2016-01-01 to 2024-08-01...

=== LIVE PAPER-TRADING SIMULATION ===

Start: 2023-01-02  End: 2024-08-01
Costs: comm=0.001, slip=0.0005, fill_rate=0.9
Latency: True  Turnover cap: 0.15  Vol target: 0.15
----------------------------------------------------------------------
2023-03-17 | Value: 1.0583 | Return: +0.595% | Trade: 6.62% | Assets held: 98 | Cost: 0.010%
2023-03-20 | Value: 1.0685 | Return: +0.963% | Trade: 6.17% | Assets held: 98 | Cost: 0.009%
2023-03-21 | Value: 1.0578 | Return: -1.002% | Trade: 5.21% | Assets held: 98 | Cost: 0.008%
2023-03-22 | Value: 1.0670 | Return: +0.873% | Trade: 4.94% | Assets held: 98 | Cost: 0.007%
2023-03-23 | Value: 1.0658 | Return: -0.115% | Trade: 8.28% | Assets held: 98 | Cost: 0.012%
2023-03-24 | Value: 1.0617 | Return: -0.385% | Trade: 6.15% | Assets held: 98 | Cost: 0.009%
2023-03-27 | Value: 1.0617 | Return: -0.001% | Trade: 4.04% | Assets held: 98 | Cost: 0.006%
2023-03-28 | Value: 1.0700 | Return: +0.781% | Trade: 4.86% | Assets held: 98 | Cost: 0.007%
2023-03-29 | Value: 1.0744 | Return: +0.411% | Trade: 3.58% | Assets held: 98 | Cost: 0.005%
2023-03-30 | Value: 1.0856 | Return: +1.044% | Trade: 5.04% | Assets held: 98 | Cost: 0.008%
2023-03-31 | Value: 1.0853 | Return: -0.028% | Trade: 4.20% | Assets held: 98 | Cost: 0.006%
2023-04-03 | Value: 1.0846 | Return: -0.059% | Trade: 4.17% | Assets held: 98 | Cost: 0.006%
2023-04-04 | Value: 1.0796 | Return: -0.460% | Trade: 4.23% | Assets held: 98 | Cost: 0.006%
2023-04-05 | Value: 1.0823 | Return: +0.245% | Trade: 3.72% | Assets held: 98 | Cost: 0.006%
2023-04-06 | Value: 1.0819 | Return: -0.034% | Trade: 7.47% | Assets held: 98 | Cost: 0.011%
2023-04-07 | Value: 1.0868 | Return: +0.450% | Trade: 5.58% | Assets held: 98 | Cost: 0.008%
2023-04-10 | Value: 1.0900 | Return: +0.291% | Trade: 5.48% | Assets held: 98 | Cost: 0.008%
2023-04-11 | Value: 1.0856 | Return: -0.397% | Trade: 4.20% | Assets held: 98 | Cost: 0.006%
2023-04-12 | Value: 1.0990 | Return: +1.232% | Trade: 4.30% | Assets held: 98 | Cost: 0.006%
2023-04-13 | Value: 1.0954 | Return: -0.328% | Trade: 2.25% | Assets held: 98 | Cost: 0.003%
2023-04-14 | Value: 1.0978 | Return: +0.218% | Trade: 3.37% | Assets held: 98 | Cost: 0.005%
2023-04-17 | Value: 1.0987 | Return: +0.083% | Trade: 3.64% | Assets held: 98 | Cost: 0.005%
2023-04-18 | Value: 1.0926 | Return: -0.558% | Trade: 3.31% | Assets held: 98 | Cost: 0.005%
2023-04-19 | Value: 1.0840 | Return: -0.781% | Trade: 2.87% | Assets held: 98 | Cost: 0.004%
2023-04-20 | Value: 1.0836 | Return: -0.041% | Trade: 3.06% | Assets held: 98 | Cost: 0.005%
2023-04-21 | Value: 1.0839 | Return: +0.029% | Trade: 3.00% | Assets held: 98 | Cost: 0.005%
2023-04-24 | Value: 1.0700 | Return: -1.285% | Trade: 3.35% | Assets held: 98 | Cost: 0.005%
2023-04-25 | Value: 1.0687 | Return: -0.117% | Trade: 2.55% | Assets held: 98 | Cost: 0.004%
2023-04-26 | Value: 1.0822 | Return: +1.264% | Trade: 3.48% | Assets held: 98 | Cost: 0.005%
2023-04-27 | Value: 1.0842 | Return: +0.184% | Trade: 3.11% | Assets held: 98 | Cost: 0.005%
2023-04-28 | Value: 1.0785 | Return: -0.531% | Trade: 3.52% | Assets held: 98 | Cost: 0.005%
2023-05-01 | Value: 1.0718 | Return: -0.619% | Trade: 3.75% | Assets held: 98 | Cost: 0.006%
2023-05-02 | Value: 1.0711 | Return: -0.069% | Trade: 2.36% | Assets held: 98 | Cost: 0.004%
2023-05-03 | Value: 1.0676 | Return: -0.325% | Trade: 3.24% | Assets held: 98 | Cost: 0.005%
2023-05-04 | Value: 1.0795 | Return: +1.118% | Trade: 5.37% | Assets held: 98 | Cost: 0.008%
2023-05-05 | Value: 1.0777 | Return: -0.169% | Trade: 2.85% | Assets held: 98 | Cost: 0.004%
2023-05-08 | Value: 1.0760 | Return: -0.153% | Trade: 3.49% | Assets held: 98 | Cost: 0.005%
2023-05-09 | Value: 1.0818 | Return: +0.539% | Trade: 4.73% | Assets held: 98 | Cost: 0.007%
2023-05-10 | Value: 1.0793 | Return: -0.237% | Trade: 3.12% | Assets held: 98 | Cost: 0.005%
2023-05-11 | Value: 1.0763 | Return: -0.276% | Trade: 4.78% | Assets held: 98 | Cost: 0.007%
2023-05-12 | Value: 1.0813 | Return: +0.465% | Trade: 3.13% | Assets held: 98 | Cost: 0.005%
2023-05-15 | Value: 1.0729 | Return: -0.774% | Trade: 3.28% | Assets held: 98 | Cost: 0.005%
2023-05-16 | Value: 1.0817 | Return: +0.823% | Trade: 4.46% | Assets held: 98 | Cost: 0.007%
2023-05-17 | Value: 1.0852 | Return: +0.319% | Trade: 3.73% | Assets held: 98 | Cost: 0.006%
2023-05-18 | Value: 1.0837 | Return: -0.139% | Trade: 3.58% | Assets held: 98 | Cost: 0.005%
2023-05-19 | Value: 1.0847 | Return: +0.095% | Trade: 5.18% | Assets held: 98 | Cost: 0.008%
2023-05-22 | Value: 1.0779 | Return: -0.624% | Trade: 3.53% | Assets held: 98 | Cost: 0.005%
2023-05-23 | Value: 1.0701 | Return: -0.723% | Trade: 3.92% | Assets held: 98 | Cost: 0.006%
2023-05-24 | Value: 1.0760 | Return: +0.543% | Trade: 5.87% | Assets held: 98 | Cost: 0.009%
2023-05-25 | Value: 1.0900 | Return: +1.305% | Trade: 5.95% | Assets held: 98 | Cost: 0.009%
2023-05-26 | Value: 1.0908 | Return: +0.077% | Trade: 5.12% | Assets held: 98 | Cost: 0.008%
2023-05-29 | Value: 1.0943 | Return: +0.320% | Trade: 5.38% | Assets held: 98 | Cost: 0.008%
2023-05-30 | Value: 1.0926 | Return: -0.154% | Trade: 5.27% | Assets held: 98 | Cost: 0.008%
2023-05-31 | Value: 1.1012 | Return: +0.782% | Trade: 5.40% | Assets held: 98 | Cost: 0.008%
2023-06-01 | Value: 1.1124 | Return: +1.021% | Trade: 6.68% | Assets held: 98 | Cost: 0.010%
2023-06-02 | Value: 1.1106 | Return: -0.165% | Trade: 4.06% | Assets held: 98 | Cost: 0.006%
2023-06-05 | Value: 1.1174 | Return: +0.607% | Trade: 4.78% | Assets held: 98 | Cost: 0.007%
2023-06-06 | Value: 1.1103 | Return: -0.634% | Trade: 6.49% | Assets held: 98 | Cost: 0.010%
2023-06-07 | Value: 1.1171 | Return: +0.618% | Trade: 5.19% | Assets held: 98 | Cost: 0.008%
2023-06-08 | Value: 1.1181 | Return: +0.086% | Trade: 5.01% | Assets held: 98 | Cost: 0.008%
2023-06-09 | Value: 1.1264 | Return: +0.742% | Trade: 4.01% | Assets held: 98 | Cost: 0.006%
2023-06-12 | Value: 1.1363 | Return: +0.879% | Trade: 5.37% | Assets held: 98 | Cost: 0.008%
2023-06-13 | Value: 1.1357 | Return: -0.051% | Trade: 4.36% | Assets held: 98 | Cost: 0.007%
2023-06-14 | Value: 1.1473 | Return: +1.023% | Trade: 5.80% | Assets held: 98 | Cost: 0.009%
2023-06-15 | Value: 1.1443 | Return: -0.264% | Trade: 5.00% | Assets held: 98 | Cost: 0.007%
2023-06-16 | Value: 1.1452 | Return: +0.080% | Trade: 5.40% | Assets held: 98 | Cost: 0.008%
2023-06-19 | Value: 1.1422 | Return: -0.265% | Trade: 5.51% | Assets held: 98 | Cost: 0.008%
