daily_return,turnover
0.000141843207529746,0.10813761553314954
-0.00022172296303324401,0.11027762415801859
0.0005454756319522858,0.15
0.0018341727554798126,0.09674637764692307
0.0002918981481343508,0.04100294038653374
0.0013446324737742543,0.021116256713867188
0.00158890790771693,0.021530915051698685
0.001027750433422625,0.024314746260643005
0.000948260654695332,0.02340151183307171
0.0006802002317272127,0.020677654072642326
0.00021555126295424998,0.018075311556458473
0.0019221347756683826,0.032717011868953705
0.0012677027843892574,0.01918407343327999
0.0010009658290073276,0.029676269739866257
0.0002885653520934284,0.02636394277215004
0.004467734135687351,0.025243263691663742
0.0005610816879197955,0.02094000205397606
-4.212363273836672e-05,0.035891950130462646
0.0021931580267846584,0.027708234265446663
-0.0005098697147332132,0.02912268228828907
-0.0018387259915471077,0.0363110713660717
0.004828914534300566,0.0369262620806694
-0.0034979747142642736,0.02155284583568573
0.0009508974035270512,0.027209702879190445
-0.0006081877509132028,0.02050289511680603
-0.0028153047896921635,0.016403740271925926
-0.003394060768187046,0.013871662318706512
-0.0001280996366403997,0.02153868041932583
0.002672777511179447,0.02184840478003025
0.0026769202668219805,0.02561110071837902
-0.000900436716619879,0.015987681224942207
0.005376881454139948,0.030491136014461517
-0.0025874448474496603,0.019448192790150642
-0.0012240784708410501,0.03997261822223663
-0.0018082844326272607,0.02904694154858589
-0.003262736601755023,0.037099774926900864
-0.00018571231339592487,0.033448342233896255
-0.0004906136891804636,0.03067903406918049
-0.0014074074570089579,0.018507851287722588
0.002295100362971425,0.0354330837726593
0.0027936503756791353,0.031166814267635345
0.0008804283570498228,0.018563508987426758
0.0013733847299590707,0.028281204402446747
0.0006098014418967068,0.030485806986689568
0.001045858720317483,0.03891006112098694
-0.001139701111242175,0.03379862383008003
-0.0018039935966953635,0.023341160267591476
0.001630924642086029,0.027480263262987137
-0.00016250846965704113,0.03692518547177315
0.001163830398581922,0.031513702124357224
0.0004838622990064323,0.026157313957810402
-0.002399670658633113,0.03581796586513519
-0.003034700406715274,0.03775748983025551
-4.268850898370147e-05,0.0218691173940897
0.005517976824194193,0.04176469147205353
-0.00025209260638803244,0.04003060236573219
-0.0014405614929273725,0.025747334584593773
0.004225873854011297,0.0365593358874321
-0.0010466118110343814,0.03017273172736168
0.0057548824697732925,0.031087130308151245
0.0038469750434160233,0.03155357390642166
-0.00026184998569078743,0.03055117279291153
0.003242551116272807,0.03334731608629227
-0.0014540338888764381,0.033149354159832
0.004687495529651642,0.021415088325738907
0.00020324467914178967,0.03577109053730965
-0.0010341099696233869,0.03010088950395584
-3.200777427991852e-06,0.03786277025938034
0.004986096639186144,0.025492146611213684
0.0015793310012668371,0.024685151875019073
0.0032954902853816748,0.027435127645730972
0.002969461027532816,0.0327276736497879
-0.000271098775556311,0.03366247937083244
-0.0012237988412380219,0.021015137434005737
0.004676383920013905,0.02095869556069374
0.0016302698059007525,0.03130056709051132
-0.008888181298971176,0.033382367342710495
0.0035972881596535444,0.031949929893016815
0.00456954026594758,0.0297807939350605
0.00782972201704979,0.030156131833791733
0.004290120676159859,0.0255130622535944
0.010040530934929848,0.02115604840219021
0.006317067425698042,0.03590893745422363
-0.002400362631306052,0.031857166439294815
0.00029958560480736196,0.021318264305591583
0.0008014152408577502,0.0356123149394989
0.003119198139756918,0.019122516736388206
0.0070900144055485725,0.027057096362113953
0.0053848098032176495,0.028020141646265984
0.0015096269780769944,0.02775006927549839
0.0016268647741526365,0.024291064590215683
0.00044523546239361167,0.02713559754192829
0.0010400167666375637,0.02634068951010704
-0.007253417279571295,0.024164272472262383
-0.004558772314339876,0.02512791007757187
0.006197510752826929,0.020847557112574577
-0.0033933259546756744,0.024300456047058105
-0.0008261270122602582,0.031051546335220337
0.0015501590678468347,0.02843436226248741
0.008604886941611767,0.025721106678247452
-0.00045871688053011894,0.017090817913413048
0.0006913809920661151,0.019770624116063118
0.0013466954696923494,0.031035080552101135
0.002218480221927166,0.01893622800707817
-0.005687699653208256,0.027139151468873024
-0.00789023470133543,0.02221055142581463
0.0075513278134167194,0.02991955354809761
-0.010848389938473701,0.032174013555049896
-0.0006658497732132673,0.021863825619220734
-0.0012350345496088266,0.019633399322628975
0.00022491774871014059,0.029863765463232994
0.0004938732017762959,0.029088014736771584
-0.006783206947147846,0.03395183011889458
0.004122740589082241,0.041923344135284424
-4.4884982344228774e-05,0.029680419713258743
0.0010863329516723752,0.0302053764462471
0.008699248544871807,0.046649836003780365
-0.0012821233831346035,0.03315968066453934
0.002806129865348339,0.048773325979709625
-0.0020816619507968426,0.0517866350710392
0.005881038494408131,0.0455344021320343
0.0024709366261959076,0.0373612605035305
0.0072713023982942104,0.05210607498884201
-0.00029680519946850836,0.038513489067554474
0.0008992567309178412,0.049290645867586136
-0.0020337195601314306,0.044999152421951294
0.0002236618602182716,0.040748562663793564
-0.004286706913262606,0.045541003346443176
0.0008161739679053426,0.027208736166357994
-0.0010193982161581516,0.0499127134680748
0.0016182957915589213,0.026273906230926514
-0.0007672136998735368,0.03579133749008179
0.0033029369078576565,0.041405122727155685
0.0012531534302979708,0.021697331219911575
0.005522522144019604,0.026521874591708183
-0.0014591759536415339,0.03510294854640961
-0.0001371203106828034,0.022241564467549324
-0.010739972814917564,0.022629380226135254
0.002792936749756336,0.02950124442577362
0.013355521485209465,0.031400300562381744
-0.0032910392619669437,0.021782267838716507
0.004046118352562189,0.021633503958582878
-0.010292287915945053,0.02659655548632145
-0.0032044819090515375,0.029232487082481384
