date,equity,return,turnover
2023-01-02,1.0001884792000055,0.0001884792000055313,0.15
2023-01-03,1.0052674013827176,0.0050779650919139385,0.1390070219891569
2023-01-04,0.9971203349476497,-0.008104377426207066,0.13862693383398397
2023-01-05,1.012578824762628,0.01550313364714384,0.08955910801887512
2023-01-06,1.0131210954419199,0.0005355342873372138,0.04494606540972342
2023-01-09,1.0180396945182246,0.004854897502809763,0.07009873539209366
2023-01-10,1.0254451257131987,0.007274206727743149,0.06379967927932739
2023-01-11,1.0328158006265538,0.007187780924141407,0.06173029914498329
2023-01-12,1.0390906268992437,0.006075455341488123,0.05641386493561961
2023-01-13,1.0410387287192846,0.0018748141592368484,0.06539879739284515
2023-01-16,1.040037846588864,-0.0009614264126867056,0.04825439822650389
2023-01-17,1.0264436691805672,-0.013070848770439625,0.0745672658085823
2023-01-18,1.022947524040237,-0.003406075993552804,0.05552874505519867
2023-01-19,1.0394052845078727,0.016088567674160004,0.04699717926004439
2023-01-20,1.0498595335441727,0.010057914070785046,0.04013936855730808
2023-01-23,1.0464582927477344,-0.0032397103495895863,0.058180616093617826
2023-01-24,1.0479024009599385,0.0013799959560856223,0.041520118713378906
2023-01-25,1.05976415309529,0.011319519951939583,0.0423637218773365
2023-01-26,1.0663430152417375,0.006207854952663183,0.03425561169998314
2023-01-27,1.0511494615395163,-0.014248279854655266,0.03316262364387512
2023-01-30,1.0672794760293867,0.015345119871199131,0.022158209059944714
2023-01-31,1.0851549783528296,0.016748661175370216,0.023579349138319168
2023-02-01,1.102107084707359,0.015621829777956009,0.03060184232890606
2023-02-02,1.0863421344526518,-0.014304372482001781,0.020095790554889248
2023-02-03,1.0768194746287645,-0.008765801787376404,0.030105529478250886
2023-02-06,1.0880650495321262,0.010443324223160744,0.028989917873257196
2023-02-07,1.081016394443234,-0.006478155963122845,0.021253901318359514
2023-02-08,1.0726246768842973,-0.007762803230434656,0.03120494866975635
2023-02-09,1.070760400043426,-0.0017380514182150364,0.031318049877882004
2023-02-10,1.0793660255502235,0.008036929182708263,0.03119519352912903
2023-02-13,1.0841385590651116,0.004421608056873083,0.02224968116173815
2023-02-14,1.092445552958731,0.0076622990891337395,0.02252439409211658
2023-02-15,1.0822031175154674,-0.009375694207847118,0.02431814352990254
2023-02-16,1.08015821490227,-0.0018895737593993545,0.025415607544226972
2023-02-17,1.0803253501620673,0.00015473220264539123,0.03659197688102722
2023-02-20,1.0620724687057919,-0.016895726323127747,0.040573835372924805
2023-02-21,1.0612160343321488,-0.000806380354333669,0.04266411438584328
2023-02-22,1.0637926271831917,0.0024279626086354256,0.03546286032477006
2023-02-23,1.0521835122628267,-0.010912949219346046,0.033152638059087
2023-02-24,1.0556984576337063,0.003340620081871748,0.04426741960555788
2023-02-27,1.0533863475852163,-0.0021901235450059175,0.04533416137234398
2023-02-28,1.0499702909405202,-0.00324292853474617,0.048244137316942215
2023-03-01,1.055634449286058,0.005394589155912399,0.04646133305112643
2023-03-02,1.068462739685059,0.01215220894664526,0.054416149854660034
2023-03-03,1.0665041079360857,-0.001833130605518818,0.04205138722658967
2023-03-06,1.054037169480552,-0.011689536273479462,0.06998193264007568
2023-03-07,1.0535626078104285,-0.00045023238635621965,0.058950269806880735
2023-03-08,1.031467270754588,-0.02097202092409134,0.05599406312878608
2023-03-09,1.0142338483521942,-0.016707677394151688,0.07212100923061371
2023-03-10,1.0274723452053056,0.013052706606686115,0.05759957116836395
2023-03-13,1.0441588987375838,0.01624039188027382,0.05991572768920852
2023-03-14,1.0379876397556889,-0.0059102680534124374,0.047121328564838895
2023-03-15,1.0538720524484362,0.015303084626793861,0.08216952970963022
2023-03-16,1.052039642572258,-0.0017387403640896082,0.08060191571712494
2023-03-17,1.0583041060065868,0.0059545887634158134,0.06621173024177551
2023-03-20,1.0684957492341165,0.009630165062844753,0.06167679652571678
